File, P1, P2, Date, Workers, Time Start, Time End, Collection, Magazine Name, Structure, Sheet Notes, Volume, Year, Date Start, Date End, Issue Start, Issue End, Type, Notes, Other Data
http://static.free-dissociation.com/magventory/mag-181.jpg, nhinchen, mgentile555, 2/2/2007, JFC; ALC, 10:30, , circ, F + SF, monthly, , 7, 1954, Jul, Dec, 1, 6, U, monthly
http://static.free-dissociation.com/magventory/mag-181.jpg, nhinchen, mgentile555, 2/2/2007, JFC; ALC, 10:30, , circ, F + SF, monthly, , 8, 1955, Jan, Jun, 1, 6, U, monthly
http://static.free-dissociation.com/magventory/mag-181.jpg, nhinchen, mgentile555, 2/2/2007, JFC; ALC, 10:30, , circ, F + SF, monthly, , 9, 1955, Jul, Dec, 1, 6, U, monthly
http://static.free-dissociation.com/magventory/mag-181.jpg, nhinchen, mgentile555, 2/2/2007, JFC; ALC, 10:30, , circ, F + SF, monthly, , 10, 1956, Jan, Jun, 1, 6, U, monthly
http://static.free-dissociation.com/magventory/mag-181.jpg, nhinchen, mgentile555, 2/2/2007, JFC; ALC, 10:30, , circ, F + SF, monthly, , 11, 1956, Jul, Dec, 1, 6, U, monthly (spp says 1955 on spine)
http://static.free-dissociation.com/magventory/mag-181.jpg, nhinchen, mgentile555, 2/2/2007, JFC; ALC, 10:30, , circ, F + SF, monthly, , 12, 1957, Jan, Jun, 1, 6, U, monthly
http://static.free-dissociation.com/magventory/mag-181.jpg, nhinchen, mgentile555, 2/2/2007, JFC; ALC, 10:30, , circ, F + SF, monthly, , 13, 1957, Jul, Dec, 1, 6, U, monthly
http://static.free-dissociation.com/magventory/mag-181.jpg, nhinchen, mgentile555, 2/2/2007, JFC; ALC, 10:30, , circ, F + SF, monthly, , 14, 1958, Jan, Jun, 1, 6, U, monthly
http://static.free-dissociation.com/magventory/mag-181.jpg, nhinchen, mgentile555, 2/2/2007, JFC; ALC, 10:30, , circ, F + SF, monthly, , 15, 1958, Jul, Dec, 1, 6, U, monthly
http://static.free-dissociation.com/magventory/mag-181.jpg, nhinchen, mgentile555, 2/2/2007, JFC; ALC, 10:30, , circ, F + SF, monthly, , 16, 1959, Jan, Jun, 1, 6, U, monthly
http://static.free-dissociation.com/magventory/mag-181.jpg, nhinchen, mgentile555, 2/2/2007, JFC; ALC, 10:30, , circ, F + SF, monthly, , 17, 1959, Jul, Dec, 1, 6, U, monthly
http://static.free-dissociation.com/magventory/mag-181.jpg, nhinchen, mgentile555, 2/2/2007, JFC; ALC, 10:30, , circ, F + SF, monthly, , 18; 19, 1960, Jan, Dec, 18-1, 19-6, U, monthly
http://static.free-dissociation.com/magventory/mag-181.jpg, nhinchen, mgentile555, 2/2/2007, JFC; ALC, 10:30, , circ, F + SF, monthly, , 20; 21, 1961, Jan, Dec, 20-1, 21-6, U, monthly
http://static.free-dissociation.com/magventory/mag-181.jpg, nhinchen, mgentile555, 2/2/2007, JFC; ALC, 10:30, , circ, F + SF, monthly, , 22; 23, 1962, Jan, Dec, 22-1, 23-6, U, monthly
http://static.free-dissociation.com/magventory/mag-181.jpg, nhinchen, mgentile555, 2/2/2007, JFC; ALC, 10:30, , circ, F + SF, monthly, , 24; 25, 1963, Jan, Dec, 24-1, 25-6, U, monthly
http://static.free-dissociation.com/magventory/mag-181.jpg, nhinchen, mgentile555, 2/2/2007, JFC; ALC, 10:30, , circ, F + SF, monthly, , 26; 27, 1964, Jan, Dec, 26-1, 27-6, U, monthly
http://static.free-dissociation.com/magventory/mag-181.jpg, nhinchen, mgentile555, 2/2/2007, JFC; ALC, 10:30, , circ, F + SF, monthly, , 28; 29, 1965, Jan, Dec, 28-1, 29-6, U, monthly
http://static.free-dissociation.com/magventory/mag-181.jpg, nhinchen, mgentile555, 2/2/2007, JFC; ALC, 10:30, , circ, F + SF, monthly, , 30; 31, 1966, Jan, Dec, 30-1, 31-6, U, monthly; missing March (June is 30-6)
http://static.free-dissociation.com/magventory/mag-181.jpg, nhinchen, mgentile555, 2/2/2007, JFC; ALC, 10:30, , circ, F + SF, monthly, , 32; 33, 1967, Jan, Dec, 32-1, 33-6, U, monthly
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , 34; 35, 1968, Jan, Dec, 34-1, 35-6, U, monthly
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , 36; 37, 1969, Jan, Dec, 36-1, 37-6, U, monthly
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1970, Jan, Dec, 38-1, 39-6, U, monthly
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1971, Jan, Dec, 40-1, 41-6, U, monthly
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1972, Jan, Dec, 42-1, 43-6, U, 
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1973, Jan, Dec, 44-1, 45-6, U, 
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1974, Jan, Dec, 46-1, 47-6, U, 
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1975, Jan, Dec, 48-1, 49-6, U, 
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1976, Jan, Dec, 50-1, 51-6, U, 
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1977, Jan, Dec, 52-1, 53-6, U, 
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1978, Jan, Dec, 54-1, 55-6, U, 
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1979, Jan, Dec, 56-1, 57-6, U, 
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1980, Jan, Dec, 58-1, 59-6, U, 
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1981, Jan, Dec, 60-1, 61-6, U, 
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1982, Jan, Dec, 62-1, 63-6, U, 
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1983, Jan, Dec, 64-1, 65-6, U, 
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1984, Jan, Aug, 66-1, 67-2, U, no June
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1984, Dec, , 67-6, , U, Dec. 1984
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1984, , , 67-3;67-4;67-5;87-6, , B, Sep; Oct; Nov 1984; Dec 1994
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1985, Jan, Dec, 68-1, 69-6, U, monthly
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1986, Jan, Dec, 70-1, 71-6, U, 
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1987, Jan, Dec, 72-1, 73-6, U, 
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1988, Jan, Dec, 74-1, 75-6, U, 
http://static.free-dissociation.com/magventory/mag-182.jpg, nhinchen, kevinr, 2/2/2007, JFC; ALC, , , circ, F and SF, monthly, , , 1989, Jan, Dec, 76-1, 77-6, U, 
http://static.free-dissociation.com/magventory/mag-183.jpg, dnawi, kevinr, Feb. 2 2007, KKB, 10:45, , MagDex shelf (C/M displaced due to lack of space), Analog, monthly, , CXX, 2000, 10/00, 12/00, 10, 12, U, , Count: 2 mags
